institution name	HD2018.City location of institution	HD2018.State abbreviation	HD2018.Level of institution	HD2018.Control of institution	HD2018.Highest level of offering	HD2018.Highest degree offered	HD2018.Institution has hospital	HD2018.Historically Black College or University	HD2018.Tribal college	IC2018.Open admission policy	HD2018.Degree of urbanization (Urban-centric locale)	Setting	HD2018.Longitude location of institution	HD2018.Latitude location of institution	HD2018.Data Feedback Report comparison group created by NCES	HD2018.Carnegie Classification 2018: Size and Setting	Size	IC2018.Calendar system	isIvy	State;HBC;Tribal;Ivy	Tuition	Tuition (in-state)	Description	Undergrad Enrollment
Pennsylvania State University Penn State Harrisburg	Middletown	Pennsylvania	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	Not applicable	No	No	No	Suburb: Large	Suburb	-76.7423	40.203766	"Masters Colleges and Universities (larger programs), public/5 of 5"	"Four-year, medium, primarily nonresidential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Saint Joseph's University	Philadelphia	Pennsylvania	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Large	City	-75.238343	39.994442	"Masters Colleges and Universities (larger programs), private not-for-profit/1 of 5"	"Four-year, medium, highly residential"	medium	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshivath Beth Moshe	Scranton	Pennsylvania	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Small	City	-75.656191	41.394852	"Theological seminaries/Bible colleges/faith-related institutions, highest level-Doctor's, undergraduate degrees/certificates offered"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Johnson & Wales University Providence	Providence	Rhode Island	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Midsize	City	-71.41277	41.819956	"Masters Colleges and Universities (larger programs), private not-for-profit/1 of 5"	"Four-year, medium, highly residential"	medium	Quarter	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Southern Wesleyan University	Central	South Carolina	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Suburb: Large	Suburb	-82.761586	34.728068	"Masters Colleges and Universities (larger programs), private not-for-profit/5 of 5"	"Four-year, small, primarily residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Clemson University	Clemson	South Carolina	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Suburb: Large	Suburb	-82.835114	34.679381	"Doctoral Universities: Highest Research Activity, public/3 of 3"	"Four-year, large, primarily residential"	large	Semester	No	Public;No;No;No	32796	14240	"As a student at Clemson, get ready to love the color orange. The orange Clemson Tigers compete in the NCAA Division I Atlantic Coast Conference. The teams are supported by notoriously passionate student fans and two costumed student mascots, known as The Tiger and The Tiger Cub. There are more than 400 student clubs and organizations, and about 25 percent of students are involved in the school's large Greek system. Clemson is set on Hartwell Lake, where students can sail, swim and fish. For indoor fun, the on-campus Underground Recreation Center has a bowling alley, arcade and billiards room. Students can travel for free on campus bus system The CAT, which connects students between Clemson University and the nearby city of Clemson, S.C. The city of Clemson is within walking distance of campus, too, and offers a typical active college scene with many shopping, dining and nightlife options. Freshmen must live in university housing, and nearly half of all students choose to live on the school's picturesque, tree-lined campus."	18016
Columbia International University	Columbia	South Carolina	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Midsize	City	-81.07443	34.07551	"Masters Colleges and Universities (smaller programs), private not-for-profit/3 of 3"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Erskine College	Due West	South Carolina	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Rural: Distant	Rural	-82.39095	34.332087	"Baccalaureate Colleges--Diverse Fields, private not-for-profit/5 of 7"	"Four-year, very small, highly residential"	small	Four-one-four plan	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
North Greenville University	Tigerville	South Carolina	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Rural: Fringe	Rural	-82.37026	35.069758	"Masters Colleges and Universities (smaller programs), private not-for-profit/1 of 3"	"Four-year, small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Coastal Carolina University	Conway	South Carolina	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Small	City	-79.011767	33.794995	"Masters Colleges and Universities (larger programs), public/2 of 5"	"Four-year, medium, primarily residential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
South Carolina State University	Orangeburg	South Carolina	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	Yes	No	No	Town: Distant	Town	-80.848722	33.497968	"Masters Colleges and Universities (smaller programs), public"	"Four-year, small, highly residential"	small	Semester	No	Public;Yes;No;No	#N/A	#N/A	#N/A	#N/A
Dakota State University	Madison	South Dakota	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Town: Distant	Town	-97.113358	44.013014	"Masters Colleges and Universities (smaller programs), public"	"Four-year, small, primarily residential"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
National American University Rapid City	Rapid City	South Dakota	Four or more years	Private for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	Yes	City: Small	City	-103.250223	44.03152	"Baccalaureate Colleges--Arts & Sciences or Diverse Fields, private for-profit"	"Four-year, very small, primarily nonresidential"	small	Quarter	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
South Dakota School of Mines and Technology	Rapid City	South Dakota	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Small	City	-103.205753	44.075439	Schools of engineering	"Four-year, small, primarily residential"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Austin Peay State University	Clarksville	Tennessee	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Midsize	City	-87.354081	36.533319	"Masters Colleges and Universities (larger programs), public/2 of 5"	"Four-year, medium, primarily nonresidential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Carson Newman University	Jefferson City	Tennessee	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Suburb: Small	Suburb	-83.491709	36.122934	"Doctoral/Professional Universities, private not-for-profit/3 of 3"	"Four-year, small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Freed Hardeman University	Henderson	Tennessee	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Town: Distant	Town	-88.637964	35.440611	"Masters Colleges and Universities (smaller programs), private not-for-profit/1 of 3"	"Four-year, small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Johnson University	Knoxville	Tennessee	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Rural: Fringe	Rural	-83.750273	35.937193	"Theological seminaries/Bible colleges/faith-related institutions, highest level-Doctor's, undergraduate degrees/certificates offered"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Middle Tennessee State University	Murfreesboro	Tennessee	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Midsize	City	-86.360618	35.848005	"Doctoral/Professional Universities, public"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Tennessee State University	Nashville	Tennessee	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	Yes	No	Yes	City: Large	City	-86.828275	36.166321	"Doctoral Universities: Higher Research Activity, public/3 of 3"	"Four-year, medium, highly residential"	medium	Semester	No	Public;Yes;No;No	#N/A	#N/A	#N/A	#N/A
Tennessee Technological University	Cookeville	Tennessee	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Town: Remote	Town	-85.504039	36.174754	"Doctoral Universities: Higher Research Activity, public/3 of 3"	"Four-year, medium, primarily nonresidential"	medium	Semester	No	Public;No;No;No	24800	16311	"Founded in 1915, Tennessee Technological University is a public institution. Tennessee Technological University follows a semester-based academic calendar and its admissions are considered more selective."	9801
Trevecca Nazarene University	Nashville	Tennessee	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Large	City	-86.754238	36.141324	"Doctoral/Professional Universities, private not-for-profit/3 of 3"	"Four-year, small, primarily residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Abilene Christian University	Abilene	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Midsize	City	-99.709797	32.468943	"Masters Colleges and Universities (larger programs), private not-for-profit/2 of 5"	"Four-year, medium, highly residential"	medium	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Concordia University Texas	Austin	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Large	City	-97.835703	30.420232	"Masters Colleges and Universities (larger programs), private not-for-profit/4 of 5"	"Four-year, small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Dallas Baptist University	Dallas	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Large	City	-96.947006	32.710017	"Doctoral/Professional Universities, private not-for-profit/2 of 3"	"Four-year, medium, primarily residential"	medium	Four-one-four plan	No	Private not-for-profit;No;No;No	26180	#N/A	"At Dallas Baptist University, or DBU, faith is integrated into academics and campus life. The university is divided into academic departments such as the College of Christian Faith and the College of Natural Sciences and Mathematics. The Baptist Student Ministries organizes events, Bible studies, and mission trips, and students can also worship at weekly men's and women's Bible studies meetings; university events such as an annual conference called ""livepure"" and more. The DBU Patriots sports teams compete in the NCAA Division II Heartland Conference and are particularly dominant in baseball. For fun off campus, downtown Dallas is about 15 miles away. Notable alumni of Dallas Baptist University include Christian music artists Chris Clayton and Kari Jobe and former St. Louis Cardinals catcher Jason LaRue."	3315
University of Dallas	Irving	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Midsize	City	-96.919512	32.846221	"Masters Colleges and Universities (larger programs), private not-for-profit/5 of 5"	"Four-year, small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Texas A&M University Texarkana	Texarkana	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Rural: Fringe	Rural	-94.103617	33.490482	"Masters Colleges and Universities (medium programs), public/1 of 2"	"Four-year, small, primarily nonresidential"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Texas A & M University Commerce	Commerce	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Town: Distant	Town	-95.908451	33.243745	"Doctoral/Professional Universities, public"	"Four-year, medium, primarily residential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Houston Baptist University	Houston	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Large	City	-95.515954	29.693819	"Masters Colleges and Universities (larger programs), private not-for-profit/3 of 5"	"Four-year, small, primarily residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
University of Houston Clear Lake	Houston	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Suburb: Large	Suburb	-95.098129	29.582523	"Masters Colleges and Universities (larger programs), public/4 of 5"	"Four-year, medium, primarily nonresidential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Texas A & M International University	Laredo	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Large	City	-99.436043	27.571172	"Masters Colleges and Universities (larger programs), public/4 of 5"	"Four-year, medium, primarily nonresidential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Prairie View A & M University	Prairie View	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	Yes	No	No	Town: Distant	Town	-95.989475	30.092425	"Masters Colleges and Universities (larger programs), public/3 of 5"	"Four-year, medium, highly residential"	medium	Semester	No	Public;Yes;No;No	#N/A	#N/A	#N/A	#N/A
Rice University	Houston	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Large	City	-95.402035	29.717897	"Doctoral Universities: Highest Research Activity, private not-for-profit"	"Four-year, medium, highly residential"	medium	Semester	No	Private not-for-profit;No;No;No	43918	#N/A	"Rice University, located in the heart of Houston's Museum District, offers a dynamic student life in the nation's fourth-largest city. The Rice Coffeehouse, Valhalla Pub and Willy's Pub are all student-run institutions offering on-campus food and drink. Before stepping foot on campus, all students are assigned to one of 11 residential colleges, of which they remain members even if they decide to move off campus. The residential colleges provide housing, dining, and academic and social events. The Rice Owls boast 14 varsity NCAA Division I athletic teams and are well known for their strong baseball program. Students receive free tickets to all varsity athletic events."	3910
University of St Thomas	Houston	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Large	City	-95.393102	29.736438	"Masters Colleges and Universities (larger programs), private not-for-profit/4 of 5"	"Four-year, small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	39594	#N/A	"Founded in 1885, University of St. Thomas is a private institution. The school has 40.1 percent of its classes with fewer than 20 students, and the student-faculty ratio at University of St. Thomas is 14:1."	6240
Sam Houston State University	Huntsville	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Town: Distant	Town	-95.546205	30.714738	"Doctoral/Professional Universities, public"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Southwestern Assemblies of God University	Waxahachie	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Suburb: Large	Suburb	-96.853492	32.40443	"Masters Colleges and Universities (smaller programs), private not-for-profit/2 of 3"	"Four-year, small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Stephen F Austin State University	Nacogdoches	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Town: Remote	Town	-94.64908	31.621056	"Doctoral/Professional Universities, public"	"Four-year, large, primarily residential"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Tarleton State University	Stephenville	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Town: Remote	Town	-98.214866	32.214988	"Masters Colleges and Universities (larger programs), public/2 of 5"	"Four-year, large, primarily residential"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Texas A & M University Kingsville	Kingsville	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Town: Distant	Town	-97.882387	27.525168	"Doctoral Universities: Higher Research Activity, public/3 of 3"	"Four-year, medium, primarily residential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
The University of Texas at San Antonio	San Antonio	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Large	City	-98.620657	29.583709	"Doctoral Universities: Higher Research Activity, public/1 of 3"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Texas Wesleyan University	Fort Worth	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Large	City	-97.279613	32.732962	"Doctoral/Professional Universities, private not-for-profit/3 of 3"	"Four-year, small, primarily residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Wayland Baptist University	Plainview	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Town: Remote	Town	-101.730042	34.187677	"Masters Colleges and Universities (larger programs), private not-for-profit/2 of 5"	"Four-year, small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
West Texas A & M University	Canyon	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Town: Fringe	Town	-101.914736	34.982789	"Masters Colleges and Universities (larger programs), public/3 of 5"	"Four-year, medium, primarily residential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Middlebury College	Middlebury	Vermont	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Town: Distant	Town	-73.176068	44.009117	"Baccalaureate Colleges--Arts & Sciences, private not-for-profit/1 of 7"	"Four-year, small, highly residential"	small	Four-one-four plan	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Marymount University	Arlington	Virginia	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Midsize	City	-77.128785	38.905562	"Masters Colleges and Universities (larger programs), private not-for-profit/3 of 5"	"Four-year, small, primarily residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Virginia State University	Petersburg	Virginia	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	Yes	No	No	Suburb: Large	Suburb	-77.419026	37.234692	"Masters Colleges and Universities (medium programs), public/1 of 2"	"Four-year, medium, highly residential"	medium	Semester	No	Public;Yes;No;No	#N/A	#N/A	#N/A	#N/A
City University of Seattle	Seattle	Washington	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	Yes	City: Large	City	-122.344594	47.617381	"Masters Colleges and Universities (larger programs), private not-for-profit/5 of 5"	"Four-year, small, primarily nonresidential"	small	Quarter	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Northwest University	Kirkland	Washington	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Suburb: Large	Suburb	-122.192763	47.657945	"Masters Colleges and Universities (medium programs), private not-for-profit/4 of 4"	"Four-year, small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Seattle Pacific University	Seattle	Washington	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Large	City	-122.361667	47.650214	"Doctoral/Professional Universities, private not-for-profit/2 of 3"	"Four-year, medium, highly residential"	medium	Quarter	No	Private not-for-profit;No;No;No	38940	#N/A	"Seattle Pacific University (SPU) is a private Christian institution located in the Queen Anne residential neighborhood of the city, about 10 minutes from downtown. Undergraduates at Seattle Pacific can choose from more than 60 academic programs, and graduate students can earn master's degrees in about 15 programs, including those in the schools of business and education. Many Seattle Pacific students and alumni utilize the Center for Career and Calling, which helps them perfect cover letters and portfolios, among other services, to ease the job search. Students at SPU can also get involved in about 50 clubs and an extensive network of volunteer opportunities through the John Perkins Center. Student athletes can play at the intramural level or try out for the maroon and white Seattle Pacific University Falcons varsity teams, which compete in the NCAA Division II Great Northwest Athletic Conference. Notable alumni include Doris Heritage, a distance runner who won five world championships in the sport before going on to coach the Seattle Pacific women's cross country team for about 40 years."	3202
Cardinal Stritch University	Milwaukee	Wisconsin	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Suburb: Large	Suburb	-87.909045	43.139752	"Doctoral/Professional Universities, private not-for-profit/3 of 3"	"Four-year, small, primarily residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Marian University	Fond Du Lac	Wisconsin	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Small	City	-88.420638	43.777411	"Masters Colleges and Universities (medium programs), private not-for-profit/3 of 4"	"Four-year, small, primarily residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshiva Gedolah of Greater Detroit	Oak Park	Michigan	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Suburb: Large	Suburb	-83.200754	42.471924	"Theological seminaries/Bible colleges/faith-related institutions, highest level-Doctor's, undergraduate degrees/certificates offered"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Brandman University	Irvine	California	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Large	City	-117.769012	33.656401	"Doctoral/Professional Universities, private not-for-profit/1 of 3"	"Four-year, medium, primarily nonresidential"	medium	Trimester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Arizona State University West	Glendale	Arizona	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	Not applicable	No	No	No	City: Large	City	-112.160021	33.60726	"Masters Colleges and Universities (medium programs), public/1 of 2"	"Four-year, medium, primarily nonresidential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Capella University	Minneapolis	Minnesota	Four or more years	Private for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	Yes	City: Large	City	-93.268796	44.976286	"Doctoral/Professional Universities, private for-profit"	"Four-year, large, primarily nonresidential"	large	Quarter	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshiva D'monsey Rabbinical College	Monsey	New York	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Suburb: Large	Suburb	-74.064721	41.114173	"Theological seminaries/Bible colleges/faith-related institutions, highest level-Doctor's, undergraduate degrees/certificates offered"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Arizona State University Polytechnic	Mesa	Arizona	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	Not applicable	No	No	No	City: Large	City	-111.677225	33.307142	"Masters Colleges and Universities (larger programs), public/5 of 5"	"Four-year, medium, primarily residential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Embry Riddle Aeronautical University Worldwide	Daytona Beach	Florida	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Small	City	-81.048367	29.189903	Other technology-related schools	"Four-year, medium, primarily nonresidential"	medium	Other academic year	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
University of Management and Technology	Arlington	Virginia	Four or more years	Private for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	Yes	City: Midsize	City	-77.072001	38.89743	"Doctoral/Professional Universities, private for-profit"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Apex School of Theology	Durham	North Carolina	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	Yes	City: Large	City	-78.841386	35.922645	"Theological seminaries/Bible colleges/faith-related institutions, highest level-Doctor's, undergraduate degrees/certificates offered"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Faith International University	Tacoma	Washington	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	Yes	City: Midsize	City	-122.51687	47.280168	"Theological seminaries/Bible colleges/faith-related institutions, highest level-Doctor's, undergraduate degrees/certificates offered"	"Four-year, very small, primarily nonresidential"	small	Quarter	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Northcentral University	San Diego	California	Four or more years	Private for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	Not applicable	City: Large	City	-117.214911	32.73667	"Doctoral/Professional Universities, private for-profit"	"Four-year, medium, primarily nonresidential"	medium	Other academic year	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Beis Medrash Heichal Dovid	Far Rockaway	New York	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	City: Large	City	-73.751633	40.596845	"Theological seminaries/Bible colleges/faith-related institutions, highest level-Doctor's, undergraduate degrees/certificates offered"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
University of California Merced	Merced	California	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Rural: Fringe	Rural	-120.424944	37.366237	"Doctoral Universities: Higher Research Activity, public/3 of 3"	"Four-year, medium, primarily residential"	medium	Semester	No	Public;No;No;No	39944	13262	"Founded in 2005, University of California--Merced is a public institution. The school has 30.1 percent of its classes with fewer than 20 students, and the student-faculty ratio at University of California--Merced is 19:1."	6237
Harrisburg University of Science and Technology	Harrisburg	Pennsylvania	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	Yes	City: Small	City	-76.880261	40.26193	"Masters Colleges and Universities (larger programs), private not-for-profit/2 of 5"	"Four-year, medium, highly residential"	medium	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Doane University Graduate and Professional Studies	Lincoln	Nebraska	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	Yes	City: Large	City	-96.650758	40.815541	"Masters Colleges and Universities (larger programs), private not-for-profit/5 of 5"	"Four-year, small, primarily nonresidential"	small	Other academic year	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
American Public University System	Charles Town	West Virginia	Four or more years	Private for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	Yes	Town: Fringe	Town	-77.860121	39.287826	"Masters Colleges and Universities (larger programs), private for-profit"	"Four-year, large, primarily nonresidential"	large	Other academic year	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
American College of Education	Indianapolis	Indiana	Four or more years	Private for-profit	Doctor's degree	Doctor's degree - research/scholarship	Not reported	No	No	Not applicable	City: Large	City	-86.160161	39.76975	"Non-Title IV institution, that did not respond to all component surveys"	"Four-year, medium, primarily nonresidential"	medium	Other academic year	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Columbia Southern University	Orange Beach	Alabama	Four or more years	Private for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	Yes	Town: Fringe	Town	-87.653162	30.329288	"Doctoral/Professional Universities, private for-profit"	"Four-year, large, primarily nonresidential"	large	Other academic year	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Trident University International	Cypress	California	Four or more years	Private for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	No	Suburb: Large	Suburb	-118.032177	33.80595	"Doctoral/Professional Universities, private for-profit"	"Four-year, medium, primarily nonresidential"	medium	Other academic year	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Aspen University	Denver	Colorado	Four or more years	Private for-profit	Doctor's degree	Doctor's degree - research/scholarship	No	No	No	Yes	City: Large	City	-104.939111	39.68614	"Masters Colleges and Universities (larger programs), private for-profit"	"Four-year, small, primarily nonresidential"	small	Other academic year	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
